Year,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1923,0.1806088487796148,0.18084945094860455,0.4623374927130676,0.26052947778705676,0.43413920999802685,0.07674404296759146,0.3678900771266651,0.35466195835940095,0.27923255975223044,0.09430394551518681,0.34600689473737783,0.1218754892084673
1924,0.2092257134168252,0.18698146492676646,0.3727958214762422,0.2386113527071926,0.43360128219585725,0.056668131152312076,0.21105898566433237,0.2858770291705922,0.2896303960213162,0.18530287073415283,0.23259401207248723,0.24540441534617335
1925,0.18760631630971908,0.24129338736400008,0.4315268102459927,0.3446514057219243,0.47491371750309425,0.1705810746175475,0.37683280409993747,0.35789077130438746,0.32972865134432894,0.2597143305285236,0.22741356303129162,0.3735682942071095
1926,0.23057032046326126,0.2294401677932851,0.48525118550712765,0.34776497724950395,0.4519992998437793,0.14337346716157395,0.2905602806399867,0.3970484758889352,0.33831793917155856,0.23121846348002448,0.31842140918489237,0.24941295387402423
1927,0.30492913103506636,0.30402781231082115,0.37642367926802994,0.31199439220397523,0.4761716367892461,0.1628791141242926,0.27927545237156587,0.3983258823745947,0.45380297601953296,0.322148039629917,0.37344114957856384,0.22418861722556005
1928,0.2985518013005604,0.17568955674700182,0.3145807005910208,0.2704861262090162,0.47627814158733794,0.15103957646643576,0.400974928668316,0.23776291301649846,0.3293432041015066,0.14449813941595402,0.2760433853349881,0.17560805823282122
1929,0.3031921234010843,0.26690796443936404,0.5594626250456707,0.2433105014823399,0.48227708357464466,0.22941117547035605,0.6213975137644638,0.1658674935143368,0.3519619214386167,0.10921304428605577,0.1720383824399038,0.17152064767158268
1930,0.27749931853366644,0.2629773690306942,0.31439310517859537,0.31992112637215114,0.4590174517285096,0.2345327346999833,0.6979292700153238,0.307528025302854,0.4057198844074196,0.14797095879897873,0.34492052716836114,0.2607521756269925
1931,0.33731964738816916,0.08918955759565206,0.3205832307460516,0.3576187514282945,0.48194105425929284,0.2637358549519135,0.5941498354964951,0.3078078851168843,0.43536713997468357,0.17018488602457071,0.34727891372938796,0.32234256760969554
1932,0.3349594406605134,0.24564196010368436,0.419690603294532,0.24628023680647979,0.4961735162027257,0.0600484258325615,0.555717802942665,0.35927977971604536,0.4403556922071507,0.09999868326210823,0.30423713269226577,0.27080528933480374
1933,0.240620465857916,0.27723194561817865,0.41759717838812566,0.3287529815526484,0.5395257394812717,0.02695268379550696,0.6621709692664272,0.36911533762161547,0.37745759858437433,0.10030656200826253,0.3159368614925262,0.2848841298633769
1934,0.2673630735112632,0.14500607067503724,0.33587044542012934,0.3107568931309895,0.5566099086512939,0.0650245531785558,0.6208837132987459,0.34003653697958136,0.36912323806260816,0.18569878674036194,0.3216976573868473,0.3322294232780511
1935,0.24319399184255783,0.22149905435026426,0.5363150866665414,0.279168689653206,0.5409374733132234,0.2112324738634378,0.5519985135745747,0.377026822882114,0.3775569206891429,0.19168145839839726,0.33568984733886476,0.2508568265638061
1936,0.34001027165673675,0.19389096105663398,0.4062136061673255,0.31369801264253794,0.5483833856241831,0.10122415711998126,0.3965504583978336,0.40871322797800547,0.4505109825220415,0.24625623383884332,0.3251497265435888,0.3734196228256605
1937,0.2938459847249155,0.21017905305412649,0.22496078102635142,0.2540239503071615,0.5577684376966773,0.18626187317019155,0.35759578777282064,0.3383175118099022,0.40489514432695833,0.15096445352040785,0.28135130418489257,0.35662303540086476
1938,0.3192912549939971,0.22923135771314995,0.22403902553470428,0.3078284198651579,0.5577557135329763,0.19789057951367797,0.4188303189265215,0.3955541839659131,0.4504602983160701,0.11589218101357722,0.23960864415220576,0.24983664672717387
1939,0.3141647798768341,0.19704000871738103,0.31654251014110607,0.2982366825867352,0.584983572781407,0.14374646737153207,0.4842780681342353,0.44833626439671226,0.4389869812871386,0.2439765372377628,0.3171108182012826,0.1549023752163809
1940,0.361604419176618,0.18490554394187136,0.34660795064543326,0.225902805940593,0.5764523144392916,0.16896476050283435,0.5386274265181519,0.3118718419297706,0.4005940004968287,0.1834289434102934,0.3461217117252786,0.22414862314291775
1941,0.26365281953535646,0.1879278712629923,0.38867924849102875,0.30839848192704034,0.5966214676933266,0.19342531016407116,0.3216946452747954,0.3548282585637585,0.48247386613768306,0.11450646536150369,0.38790736302433865,0.33710855912667215
1942,0.4405420154013998,0.1431437130285647,0.20893555248834964,0.37799095519071213,0.6188006836810058,0.19858041351108505,0.30912488661553394,0.43787582107944706,0.4223811405230267,0.11633255246021411,0.41548795742634914,0.3824739256128459
